"Nationality Code","Nationality","Time Code","Time","Area Code","Area","Both sexes Intra Prefectural","Male Intra Prefectural","Female Intra Prefectural","Both sexes enter the prefecture","Male enter the prefecture","Female enter the prefecture","Both sexes left the prefecture","Male left the prefecture","Female left the prefecture","Both sexes Net Migrations","Male Net Migrations","Female Net Migrations"
"61000","Japanese","2018000303","Mar. 2018","43100","Kumamoto-shi","1,730","791","939","4,815","2,562","2,253","5,335","2,832","2,503","-520","-270","-250"
"61000","Japanese","2018000202","Feb. 2018","00000","Japan","189,558","96,829","92,729","138,017","74,490","63,527","138,017","74,490","63,527","0","0","0"
"61000","Japanese","2018000202","Feb. 2018","01000","Hokkaido","10,360","5,137","5,223","2,176","1,263","913","2,858","1,625","1,233","-682","-362","-320"
"61000","Japanese","2018000202","Feb. 2018","02000","Aomori-ken","808","384","424","811","494","317","1,044","562","482","-233","-68","-165"
"61000","Japanese","2018000202","Feb. 2018","03000","Iwate-ken","995","504","491","834","482","352","980","491","489","-146","-9","-137"
"61000","Japanese","2018000202","Feb. 2018","04000","Miyagi-ken","3,927","1,952","1,975","2,242","1,263","979","2,337","1,322","1,015","-95","-59","-36"
"61000","Japanese","2018000202","Feb. 2018","05000","Akita-ken","386","181","205","551","317","234","674","344","330","-123","-27","-96"
"61000","Japanese","2018000202","Feb. 2018","06000","Yamagata-ken","836","428","408","631","342","289","803","428","375","-172","-86","-86"
"61000","Japanese","2018000202","Feb. 2018","07000","Fukushima-ken","1,658","936","722","1,295","767","528","1,781","975","806","-486","-208","-278"
"61000","Japanese","2018000202","Feb. 2018","08000","Ibaraki-ken","3,163","1,648","1,515","2,783","1,552","1,231","2,900","1,574","1,326","-117","-22","-95"
"61000","Japanese","2018000202","Feb. 2018","09000","Tochigi-ken","1,774","896","878","1,791","1,010","781","2,010","1,081","929","-219","-71","-148"
"61000","Japanese","2018000202","Feb. 2018","10000","Gumma-ken","1,959","986","973","1,678","962","716","1,854","1,039","815","-176","-77","-99"
"61000","Japanese","2018000202","Feb. 2018","11000","Saitama-ken","10,564","5,409","5,155","10,665","5,694","4,971","9,588","5,234","4,354","1,077","460","617"
"61000","Japanese","2018000202","Feb. 2018","12000","Chiba-ken","9,756","5,216","4,540","9,341","5,033","4,308","8,574","4,651","3,923","767","382","385"
"61000","Japanese","2018000202","Feb. 2018","13000","Tokyo-to","30,918","15,869","15,049","27,119","13,973","13,146","23,873","12,757","11,116","3,246","1,216","2,030"
"61000","Japanese","2018000202","Feb. 2018","14000","Kanagawa-ken","17,099","8,811","8,288","13,509","7,159","6,350","13,005","7,055","5,950","504","104","400"
"61000","Japanese","2018000202","Feb. 2018","15000","Niigata-ken","2,116","1,081","1,035","1,005","595","410","1,371","713","658","-366","-118","-248"
"61000","Japanese","2018000202","Feb. 2018","16000","Toyama-ken","663","330","333","665","389","276","686","382","304","-21","7","-28"
"61000","Japanese","2018000202","Feb. 2018","17000","Ishikawa-ken","864","437","427","831","463","368","1,088","647","441","-257","-184","-73"
"61000","Japanese","2018000202","Feb. 2018","18000","Fukui-ken","442","220","222","483","258","225","550","306","244","-67","-48","-19"
"61000","Japanese","2018000202","Feb. 2018","19000","Yamanashi-ken","1,088","560","528","735","380","355","1,022","578","444","-287","-198","-89"
"61000","Japanese","2018000202","Feb. 2018","20000","Nagano-ken","2,160","1,039","1,121","1,471","834","637","1,579","817","762","-108","17","-125"
"61000","Japanese","2018000202","Feb. 2018","21000","Gifu-ken","1,869","922","947","1,658","912","746","1,856","985","871","-198","-73","-125"
"61000","Japanese","2018000202","Feb. 2018","22000","Shizuoka-ken","5,119","2,671","2,448","2,920","1,662","1,258","3,245","1,757","1,488","-325","-95","-230"
"61000","Japanese","2018000202","Feb. 2018","23000","Aichi-ken","14,377","7,691","6,686","6,456","3,700","2,756","6,165","3,583","2,582","291","117","174"
"61000","Japanese","2018000202","Feb. 2018","24000","Mie-ken","1,493","745","748","1,545","922","623","1,922","1,074","848","-377","-152","-225"
"61000","Japanese","2018000202","Feb. 2018","25000","Shiga-ken","1,468","748","720","1,510","817","693","1,530","880","650","-20","-63","43"
"61000","Japanese","2018000202","Feb. 2018","26000","Kyoto-fu","3,810","1,883","1,927","3,136","1,587","1,549","3,564","1,825","1,739","-428","-238","-190"
"61000","Japanese","2018000202","Feb. 2018","27000","Osaka-fu","16,277","8,280","7,997","9,664","5,012","4,652","9,407","4,990","4,417","257","22","235"
"61000","Japanese","2018000202","Feb. 2018","28000","Hyogo-ken","7,334","3,636","3,698","5,358","2,814","2,544","5,408","2,865","2,543","-50","-51","1"
